1,Blue Costume,,0
2,Green Costume,,0
3,Red Costume,,0
4,Yellow Costume,,0
19,Azuki Beans,,0
20,Bean Sprouts,,0
21,Borlotti Beans,,0
22,Breadfruit,,0
23,Broad Beans,,0
24,Chickpeas,,0
25,Green Beans and Peas,,0
26,Lima Beans,,0
27,Mung Beans,,0
28,Navy Beans,,0
29,Runner Beans,,0
30,Alfalfa Sprouts,,0
31,Anis,,0
32,Artichoke,,0
33,Arugula,,0
34,Asparagus,,0
35,Avocado,,0
36,Black Beans,,0
37,Black Eyed Peas,,0
38,Bokchow,,0
39,Piece of Broccoli,,0
40,Broccoli,,0
41,Brussel Sprouts,,0
42,Cabbage,,0
43,Callabresse,,0
44,Cauliflower,,0
45,Celery,,0
46,Chard,,0
47,Collard Greens,,0
48,Coriander,,0
49,Cornsalad,,0
50,Eggplant,,0
51,Endive,,0
52,Fennel,,0
53,Fiddlehead,,0
54,Frisee,,0
55,Green Beans,,0
56,Green Peas,,0
57,Seaweed,,0
58,Kohlrabi,,0
59,Lentils,,0
60,Snow Peas,,0
61,Soybeans,,0
62,Chokeberry,,0
63,Crabapple,,0
64,Hawthorn,,0
65,Juneberry,,0
66,Loquat,,0
67,Medlar,,0
68,Pear,,0
69,Pomegranate,,0
70,Quince,,0
71,Rowan,,0
72,Tub of Pecan Ice Cream,,0
73,Pecan Ice Cream,,0
74,Chocolate Ice Cream,,0
75,Tub of Chocolate Ice Cream,,0
76,Tub of Neapolitan Ice Cream,,0
77,Neapolitan Ice Cream,,0
78,Strawberry Ice Cream,,0
79,Tub of Strawberry Ice Cream,,0
80,Tub of Vanilla Ice Cream,,0
81,Vanilla Ice Cream,,0
82,One Slice of Cajun Chicken Pizza,,0
83,Half of a Cajun Chicken Pizza,,0
84,Three Quarters of Cajun Chicken Pizza,,0
85,Cajun Chicken Pizza,,0
86,One Slice of Pepperoni Pizza,,0
87,Half of a Pepperoni Pizza,,0
88,Three Quarters of a Pepperoni Pizza,,0
89,Pepperoni Pizza,,0
90,One Slice of Meat Pizza,,0
91,Half of a Meat Pizza,,0
92,Three Quarters of a Meat Pizza,,0
93,Meat Pizza,,0
94,One Slice of Pepper Pizza,,0
95,Half of a Pepper Pizza,,0
96,Three Quarters of a Pepper Pizza,,0
97,Pepper Pizza,,0
98,One Slice of Cheesey Pizza,,0
99,Half of a Cheesey Pizza,,0
